seq,timestamp_ms,red,ir,red_corrected,ir_corrected,datetime
270,140475,40661,101074,55.92522154185582,122.840701390334,1970-01-01 00:02:20.475
271,140498,40654,101074,47.90190676681837,122.60384256885064,1970-01-01 00:02:20.498
272,140526,40647,101076,40.78650351611139,123.8657325600173,1970-01-01 00:02:20.526
273,140545,40647,101082,40.90307590474677,129.00194297826016,1970-01-01 00:02:20.545
274,140556,40638,101075,31.887714367734795,121.33546385548794,1970-01-01 00:02:20.556
275,140579,40652,101087,45.57027599665554,132.8096286880902,1970-01-01 00:02:20.579
276,140602,40652,101096,45.18791947829185,141.308127916776,1970-01-01 00:02:20.602
277,140614,40638,101076,31.058783664422634,120.59699037011306,1970-01-01 00:02:20.614
278,140642,40641,101074,34.02127742856345,117.74855670972472,1970-01-01 00:02:20.642
279,140659,40645,101075,37.907676631323866,118.13601649535586,1970-01-01 00:02:20.659
280,140687,40647,101072,39.79061692180172,114.66721000568852,1970-01-01 00:02:20.687
281,140697,40659,101085,51.36161047086917,127.03494753028777,1970-01-01 00:02:20.697
282,140720,40627,101072,19.624104092356877,113.58988474754256,1970-01-01 00:02:20.720
283,140742,40642,101055,34.03239478873334,96.08667694270036,1970-01-01 00:02:20.742
284,140765,40643,101072,35.170865285920044,112.47826504060546,1970-01-01 00:02:20.765
285,140777,40655,101054,46.80012929532314,93.91878837088596,1970-01-01 00:02:20.777
286,140809,40653,101061,44.58587569887127,100.49437017020178,1970-01-01 00:02:20.809
287,140816,40636,101088,27.322261992677024,126.9235776897585,1970-01-01 00:02:20.816
288,140836,40694,101061,84.8116687304838,99.38187062497632,1970-01-01 00:02:20.836
289,140863,40647,101060,37.61926593522473,97.6181280760989,1970-01-01 00:02:20.863
290,140883,40643,101055,33.545981321618584,92.24340977977548,1970-01-01 00:02:20.883
291,140905,40653,101071,43.70459749446321,107.97935687798972,1970-01-01 00:02:20.905
292,140915,40672,101061,61.994511470094224,97.55798381855811,1970-01-01 00:02:20.915
293,140945,40652,101069,42.22607418729864,104.79276003101212,1970-01-01 00:02:20.945
294,140959,40648,101086,37.80531220541173,121.21526202005217,1970-01-01 00:02:20.959
295,140979,40671,101057,60.15000102731111,91.82966128119672,1970-01-01 00:02:20.979
296,141003,40653,101073,42.033327911604985,107.32295282010932,1970-01-01 00:02:21.003
297,141025,40658,101068,46.69339911347335,101.66488588291294,1970-01-01 00:02:21.025
298,141036,40667,101107,55.53699403216426,139.95687741670292,1970-01-01 00:02:21.036
299,141058,40665,101068,53.34330784308099,100.61989159555672,1970-01-01 00:02:21.058
300,141087,40657,101078,45.612546526583465,109.9380917377348,1970-01-01 00:02:21.087
301,141101,40650,101080,38.29633649224314,111.13360128507978,1970-01-01 00:02:21.101
302,141119,40654,101086,41.72945838961289,116.65068058358996,1970-01-01 00:02:21.119
303,141139,40667,101078,53.486717736911736,108.34473542863088,1970-01-01 00:02:21.139
304,141165,40662,101086,47.7078306606862,115.77439753967008,1970-01-01 00:02:21.165
305,141187,40664,101077,50.80762592628111,105.94356142909398,1970-01-01 00:02:21.187
306,141197,40658,101067,44.829234960553045,95.45041164437464,1970-01-01 00:02:21.197
307,141219,40671,101091,57.195997630269154,119.23478790290643,1970-01-01 00:02:21.219
308,141236,40667,101086,53.14700094744615,113.46951122789152,1970-01-01 00:02:21.236
309,141261,40669,101097,54.70412813063699,123.61698361546112,1970-01-01 00:02:21.261
310,141283,40668,101101,53.4884586699131,127.059728672164,1970-01-01 00:02:21.283
311,141296,40659,101090,44.535605132608126,115.62851026559986,1970-01-01 00:02:21.296
312,141320,40660,101094,45.794954497603726,118.73774758225,1970-01-01 00:02:21.320
313,141342,40660,101103,45.286581023003016,127.07781169257731,1970-01-01 00:02:21.342
314,141363,40658,101107,42.29154717327389,131.0409373791418,1970-01-01 00:02:21.363
315,141387,40663,101115,47.02260232031641,137.86565316953127,1970-01-01 00:02:21.387
